record_id,student_id,course_id,term,subject,mid_term_score,final_score,standardized_test_score
REC-001,STU-001,C-101-F24,Fall 2024,Math,85,88,92
REC-002,STU-002,C-102-F24,Fall 2024,Math,72,68,75
REC-003,STU-028,C-101-F24,Fall 2024,Math,65,60,58
REC-004,STU-040,C-401-F24,Fall 2024,History,70,72,65
REC-005,STU-050,C-302-F24,Fall 2024,English,68,65,70
REC-020,STU-001,C-101-S25,Spring 2025,Math,88,90,94
REC-021,STU-002,C-102-S25,Spring 2025,Math,65,75,78
REC-022,STU-028,C-101-S25,Spring 2025,Math,68,72,65
REC-023,STU-035,C-102-S25,Spring 2025,Math,55,50,52
REC-024,STU-040,C-401-S25,Spring 2025,History,74,78,68
REC-025,STU-050,C-302-S25,Spring 2025,English,70,76,75
REC-045,STU-001,C-107-F25,Fall 2025,Math,90,NULL,NULL
REC-046,STU-002,C-108-F25,Fall 2025,Math,78,NULL,NULL
REC-047,STU-003,C-207-F25,Fall 2025,Science,75,NULL,NULL
REC-048,STU-028,C-107-F25,Fall 2025,Math,74,NULL,NULL
REC-049,STU-035,C-108-F25,Fall 2025,Math,65,NULL,NULL
REC-050,STU-041,C-503-F25,Fall 2025,Science,95,NULL,NULL
REC-051,STU-050,C-308-F25,Fall 2025,English,78,NULL,NULL
REC-052,STU-015,C-501-F24,Fall 2024,Science,90,91,96
REC-053,STU-015,C-501-S25,Spring 2025,Science,92,95,96
REC-054,STU-015,C-503-F25,Fall 2025,Science,96,NULL,NULL
REC-055,STU-022,C-402-F24,Fall 2024,History,75,68,70
REC-056,STU-022,C-402-S25,Spring 2025,History,72,78,75
REC-057,STU-022,C-408-F25,Fall 2025,History,80,NULL,NULL
REC-058,STU-032,C-202-F24,Fall 2024,Science,66,62,60
REC-059,STU-032,C-202-S25,Spring 2025,Science,68,74,70
REC-060,STU-032,C-208-F25,Fall 2025,Science,76,NULL,NULL
REC-061,STU-044,C-401-F24,Fall 2024,History,71,70,68
REC-062,STU-044,C-401-S25,Spring 2025,History,75,79,75
REC-063,STU-044,C-408-F25,Fall 2025,History,81,NULL,NULL
REC-064,STU-049,C-301-F24,Fall 2024,English,82,85,88
REC-065,STU-049,C-301-S25,Spring 2025,English,84,86,88
REC-066,STU-049,C-307-F25,Fall 2025,English,88,NULL,NULL
